scenario_id,checker,passed,confidence,reason
PE-03,C5,True,0.533,Coverage: 66.7% (2/3)
PE-03a,C1,True,1.0,All temporal relationships valid
PE-03a,C2,True,0.5,No locations in scenario to verify against
PE-03a,C3,False,0.6552522778511047,Unknown mechanism (best match: driver_fatigue_reaction_delay at 0.34)
PE-03a,C4,True,1.0,No spurious correlations detected
PE-03a,C5,True,0.533,Coverage: 66.7% (2/3)
PE-03b,C1,True,1.0,All temporal relationships valid
PE-03b,C2,True,0.5,No locations in scenario to verify against
PE-03b,C3,False,0.6611894965171814,Unknown mechanism (best match: driver_fatigue_reaction_delay at 0.34)
PE-03b,C4,True,1.0,No spurious correlations detected
PE-03b,C5,True,0.533,Coverage: 66.7% (2/3)
PE-01,C1,True,1.0,All temporal relationships valid
PE-01,C2,True,0.5,No locations in scenario to verify against
PE-01,C3,False,0.6787711083889008,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.32)
PE-01,C4,True,1.0,No spurious correlations detected
PE-01,C5,True,0.533,Coverage: 66.7% (2/3)
PE-01a,C1,True,1.0,All temporal relationships valid
PE-01a,C2,True,0.5,No locations in scenario to verify against
PE-01a,C3,False,0.6952361464500427,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.30)
PE-01a,C4,True,1.0,No spurious correlations detected
PE-01a,C5,True,0.533,Coverage: 66.7% (2/3)
PE-01b,C1,True,1.0,All temporal relationships valid
PE-01b,C2,True,0.5,No locations in scenario to verify against
PE-01b,C3,False,0.7627096772193909,Unknown mechanism (best match: crowd_turbulence_bottleneck at 0.24)
PE-01b,C4,True,1.0,No spurious correlations detected
PE-01b,C5,True,0.533,Coverage: 66.7% (2/3)
F-06,C1,True,1.0,All temporal relationships valid
F-06,C2,True,0.5,No locations in scenario to verify against
F-06,C3,False,0.7873933613300323,Unknown mechanism (best match: dooring at 0.21)
F-06,C4,True,1.0,No spurious correlations detected
F-06,C5,False,0.0,Coverage: 0.0% (0/4)
F-06a,C1,True,1.0,All temporal relationships valid
F-06a,C2,True,0.5,No locations in scenario to verify against
F-06a,C3,False,0.868522971868515,Unknown mechanism (best match: cargo_shift_destabilization at 0.13)
F-06a,C4,True,1.0,No spurious correlations detected
F-06a,C5,False,0.0,Coverage: 0.0% (0/4)
F-06b,C1,True,1.0,All temporal relationships valid
F-06b,C2,True,0.5,No locations in scenario to verify against
F-06b,C3,False,0.5608685910701752,Unknown mechanism (best match: double_parking_congestion_trigger at 0.44)
F-06b,C4,True,1.0,No spurious correlations detected
F-06b,C5,False,0.0,Coverage: 0.0% (0/4)
F-07,C1,True,1.0,All temporal relationships valid
F-07,C2,True,0.5,No locations in scenario to verify against
F-07,C3,False,0.8374269604682922,Unknown mechanism (best match: crosswind_rollover at 0.16)
F-07,C4,True,1.0,No spurious correlations detected
F-07,C5,True,0.2,Coverage: 25.0% (1/4)
F-07a,C1,True,1.0,All temporal relationships valid
F-07a,C2,True,0.5,No locations in scenario to verify against
F-07a,C3,False,0.7841731309890747,Unknown mechanism (best match: visual_distraction_external at 0.22)
F-07a,C4,True,1.0,No spurious correlations detected
F-07a,C5,False,0.0,Coverage: 0.0% (0/4)
F-07b,C1,True,1.0,All temporal relationships valid
F-07b,C2,True,0.5,No locations in scenario to verify against
F-07b,C3,False,0.5849578678607941,Unknown mechanism (best match: visual_distraction_external at 0.42)
F-07b,C4,True,1.0,No spurious correlations detected
F-07b,C5,True,0.2,Coverage: 25.0% (1/4)
TA-09,C1,True,1.0,All temporal relationships valid
TA-09,C2,True,0.5,No locations in scenario to verify against
TA-09,C3,False,0.48043620586395264,Unknown mechanism (best match: brake_fade at 0.52)
TA-09,C4,True,1.0,No spurious correlations detected
TA-09,C5,True,0.667,Coverage: 66.7% (2/3)
TA-09a,C1,True,1.0,All temporal relationships valid
TA-09a,C2,True,0.5,No locations in scenario to verify against
TA-09a,C3,False,0.5620773136615753,Unknown mechanism (best match: brake_fade at 0.44)
TA-09a,C4,True,1.0,No spurious correlations detected
TA-09a,C5,True,0.667,Coverage: 66.7% (2/3)
TA-09b,C1,True,1.0,All temporal relationships valid
TA-09b,C2,True,0.5,No locations in scenario to verify against
TA-09b,C3,False,0.5689371228218079,Unknown mechanism (best match: brake_fade at 0.43)
TA-09b,C4,True,1.0,No spurious correlations detected
TA-09b,C5,True,0.667,Coverage: 66.7% (2/3)
RM-14,C1,True,1.0,All temporal relationships valid
RM-14,C2,True,0.5,No locations in scenario to verify against
RM-14,C3,False,0.654084324836731,Unknown mechanism (best match: visual_distraction_external at 0.35)
RM-14,C4,True,1.0,No spurious correlations detected
RM-14,C5,False,0.0,Coverage: 0.0% (0/3)
RM-14a,C1,True,1.0,All temporal relationships valid
RM-14a,C2,True,0.5,No locations in scenario to verify against
RM-14a,C3,False,0.6464074552059174,Unknown mechanism (best match: mirage_depth_distortion at 0.35)
